TOSIN BILLs
Bills,Amount
Studio,£60
Vanquis,£145
BT,£30
EE,£213.24
Thames water,£61
Council tax,£130
British Gas,£55
Car insurance,£155.43
Cleaner,£100
Benson beds,£43.19
Nova essentials,£60
Food,£140
Total,£1093.64
